foul	f {O l
short-sighted	S o: t ' s Ae t @ d
field	f i: l d
prism	' p r\ I z @ m
astronaut	' { s t r\ @ n o: t
prise	p r\ Ae z
shelter	' S e l t @
important	I m ' p o: t @ n t
paramedic	p { r\ @ ' m e d I k
tackle	' t { k @ l
revolve	r\ @ ' v O l v
prudent	' p r\ }: d @ n t
itches	I tS @ z
grudge	g r\ 6 dZ
sardine	s 6: ' d i: n
consternation	k O n s t @ ' n {I S @ n
syllable	' s I l @ b @ l
burrow	' b 6 r\ @}
u	j }:
haired	h e: d
alright	o: l ' r\ Ae t
husky	' h 6 s k i:
ovary	' @} v @ r\ i:
deluxe	d @ ' l 6 k s
oral	' O r\ @ l
psychic	' s Ae k I k
caste	k 6: s t
represent	r\ e p r\ @ ' z e n t
liar	' l Ae @
forget	f @ ' g e t
vile	v Ae l
grassroots	g r\ 6: s ' r\ }: t s
allergy	' { l @ dZ i:
dollar	' d O l @
sunk	s 6 N k
slung	s l 6 N
commute	k @ ' m j }: t
zinc	z I N k
children	tS I l d r\ @ n
reluctant	r\ @ ' l 6 k t @ n t
removalist	r\ @ ' m }: v @ l @ s t
diffuse	d @ ' f j }: s
those	D @} z
crimson	' k r\ I m z @ n
enjoying	e n dZ oI I N
hideous	' h I d i: @ s
premium	' p r\ i: m i: @ m
parcel	' p 6: s @ l
straightforward	s t r\ {I t ' f o: w @ d
malinger	m @ ' l I N g @
fall	f o: l
difference	' d I f r\ @ n s
elated	@ ' l {I t @ d
mild	m Ae l d
dampen	' d { m p @ n
benevolent	b @ ' n e v @ l @ n t
celebrity	s @ ' l e b r\ @ t i:
applicable	@ ' p l I k @ b @ l
playwright	' p l {I r\ Ae t
damper	' d { m p @
knick-knack	' n I k n { k
portable	' p o: t @ b @ l
clinch	k l I n tS
preposterous	p r\ @ ' p O s t r\ @ s
zero	' z I@ r\ @}
lawyer	' l oI @
further	' f 3: D @
ribbon	' r\ I b @ n
residue	' r\ e z @ d j }:
dial	' d Ae @ l
defence	d @ ' f e n s
stood	s t U d
associate	@ ' s @} S i: {I t
stool	s t }: l
stoop	s t }: p
coroner	' k O r\ @ n @
judicious	dZ }: ' d I S @ s
plush	p l 6 S
movement	' m }: v m @ n t
distillate	' d I s t @ l @ t
outgoing	{O t ' g @} I N
malaria	m @ ' l e: r\ i: @
K	k {I
ingratiate	I n ' g r\ {I S i: {I t
favourable	' f {I v @ r\ @ b @ l
beacon	' b i: k @ n
bushwhacker	' b U S w { k @
search	s 3: tS
marijuana	m { r\ @ ' w 6: n @
margin	' m 6: dZ @ n
scurry	' s k 6 r\ i:
airport	' e: p o: t
misery	' m I z @ r\ i:
narrow	' n { r\ @}
caravan	' k { r\ @ v { n
gristle	' g r\ I s @ l
aptitude	' { p t @ tS }: d
sanction	' s { N k S @ n
establish	@ ' s t { b l I S
eye	Ae
score	s k o:
oclock	@ ' k l O k
distinct	d @ ' s t I N k t
destination	d e s t @ ' n {I S @ n
two	t }:
splash	s p l { S
libel	' l Ae b @ l
jive	dZ Ae v
tacky	' t { k i:
fret	f r\ e t
sincere	s I n ' s I@
diamond	' d Ae @ m @ n d
brisk	b r\ I s k
landed	l { n d @ d
grisly	' g r\ I z l i:
particular	p @ ' t I k j @ l @
nineteen	n Ae n ' t i: n
town	t {O n
none	n 6 n
hour	{O @
middle	' m I d @ l
recall	' r\ @ k o: l
dew	d j }:
huge	h j }: dZ
remain	r\ @ ' m {I n
paragraph	' p { r\ @ g r\ { f
den	d e n
abandon	@ ' b { n d @ n
marble	' m 6: b @ l
bivouac	' b I v }: { k
stubborn	' s t 6 b @ n
compare	k @ m ' p e:
hamburger	' h { m b 3: g @
buttress	' b 6 t r\ @ s
share	S e:
sphere	s f I@
minimum	' m I n @ m @ m
attain	@ ' t {I n
despot	' d e s p O t
sharp	S 6: p
botanist	' b O t @ n @ s t
homicide	' h O m @ s Ae d
freckle	' f r\ e k @ l
siren	' s Ae r\ @ n
single-minded	s I N g @ l ' m Ae n d @ d
awkward	' o: k w @ d
comfort	' k 6 m f @ t
fame	f {I m
sacred	' s {I k r\ @ d
civilisation	s I v @ l Ae ' z {I S @ n
bleat	b l i: t
petite	p @ ' t i: t
uprising	' 6 p r\ Ae z I N
advice	@ d ' v Ae s
hankie	' h { N k i:
par	p 6:
blood	b l 6 d
faculty	' f { k @ l t i:
bloom	b l }: m
bleak	b l i: k
chute	S }: t
coax	k @} k s
orchard	' o: tS @ d
coat	k @} t
toiletries	' t oI l @ t r\ i: z
paw	p o:
spiteful	' s p Ae t f U l
dispensable	d @ ' s p e n s @ b @ l
mislead	m I s ' l i: d
coal	k @} l
sect	s e k t
methadone	' m e T @ d @} n
pitch-dark	' p I tS d 6: k
serenade	s e r\ @ n {I d
infant	' I n f @ n t
displease	d I s ' p l i: z
spook	s p }: k
setback	' s e t b { k
radar	' r\ {I d 6:
dough	d @}
suffer	' s 6 f @
prevaricate	p r\ @ ' v { r\ @ k {I t
arrogant	' { r\ @ g @ n t
pent	p e n t
sodium	' s @} d i: @ m
bosom	' b U z @ m
famished	' f { m I S t
late	l {I t
pend	p e n d
braise	b r\ {I z
speech	s p i: tS
bereft	b @ ' r\ e f t
dolls	d O l z
lookout	' l U k {O t
good	g U d
detour	' d i: t U @
grubby	' g r\ 6 b i:
compound	' k O m p {O n d
detach	d @ ' t { tS
complain	k @ m ' p l {I n
association	@ s @} s i: ' {I S @ n
paternity	p @ ' t 3: n @ t i:
mystery	' m I s t r\ i:
restrict	r\ @ ' s t r\ I k t
huddle	' h 6 d @ l
pregnant	' p r\ e g n @ n t
sole	s @} l
evade	@ ' v {I d
spy	s p Ae
token	' t @} k @ n
boisterous	' b oI s t r\ @ s
monsoon	m O n ' s }: n
greengrocer	' g r\ i: n g r\ @} s @
exquisite	e k ' s k w I z @ t
forthright	' f o: T r\ Ae t
clamp	k l { m p
harn	h 6: n
harm	h 6: m
harl	h 6: l
delicious	d @ ' l I S @ s
house	h {O s
fish	f I S
hard	h 6: d
beret	' b e r\ {I
connect	k @ ' n e k t
fist	f I s t
ripple	' r\ I p @ l
fibreglass	' f Ae b @ g l 6: s
harp	h 6: p
flower	' f l {O @
childish	' tS Ae l d I S
sickness	' s I k n @ s
avenge	@ ' v e n dZ
cyclone	' s Ae k l @} n
brewery	' b r\ }: @ r\ i:
foreground	' f o: g r\ {O n d
bully	' b U l i:
pathetic	p @ ' T e t I k
circumstance	' s 3: k @ m s t { n s
EB	i: ' b i:
pleasant	' p l e z @ n t
extraordinary	@ k ' s t r\ o: d @ n r\ i:
disposition	d I s p @ ' z I S @ n
beginning	b @ g I n I N
tap	t { p
omit	@} ' m I t
sitcom	' s I t k O m
rainforest	' r\ {I n f O r\ @ s t
corkscrew	' k o: k s k r\ }:
trickle	' t r\ I k @ l
newington	n j }: I N t @ n
copper	' k O p @
dont	d @} n t
perturb	p @ ' t 3: b
barbarian	b 6: ' b e: r\ i: @ n
juncture	' dZ 6 N k tS @
pop	p O p
done	d 6 n
Ethan	i: T @ n
chipboard	' tS I p b o: d
fiction	' f I k S @ n
jabber	' dZ { b @
razor	' r\ {I z @
symptom	' s I m p t @ m
divorce	d @ ' v o: s
pommy	' p O m i:
jetty	' dZ e t i:
construct	k @ n ' s t r\ 6 k t
militant	' m I l @ t @ n t
paint	p {I n t
leash	l i: S
statement	' s t {I t m @ n t
compartment	k @ m ' p 6: t m @ n t
lease	l i: s
catapult	' k { t @ p 6 l t
bumble	' b 6 m b @ l
darkroom	' d 6: k r\ }: m
needle	' n i: d @ l
park	p 6: k
sensation	s e n ' s {I S @ n
dentist	' d e n t @ s t
part	p 6: t
differentiate	d I f @ ' r\ e n S i: {I t
doctors	d O k t @ z
gruesome	' g r\ }: s @ m
believe	b @ ' l i: v
lug	l 6 g
carnage	' k 6: n I dZ
b	b i:
commiserate	k @ ' m I z @ r\ {I t
dossier	' d O s i: @
businesslike	' b I z n @ s l Ae k
colander	' k O l @ n d @
contrary	' k O n t r\ e: r\ i:
supposed	s @ ' p @} z d
sedate	s @ ' d {I t
gruelling	' g r\ }: l I N
toe	t @}
declare	d @ ' k l e:
totter	' t O t @
swerve	s w 3: v
bassinet	b { s @ n e t
reunion	r\ i: ' j }: n j @ n
left-handed	l e f t ' h { n d @ d
murder	' m 3: d @
intestine	I n ' t e s t @ n
aged	{I dZ d
mountain	' m {O n t @ n
cardigan	' k 6: d I g @ n
couch	k {O tS
onset	' O n s e t
majority	m @ ' dZ O r\ @ t i:
build	b I l d
commentary	' k O m @ n t r\ i:
insufferable	I n ' s 6 f @ r\ @ b @ l
zucchini	z @ ' k i: n i:
serene	s @ ' r\ i: n
kJ	' k I l @ dZ }: l
flute	f l }: t
breadwinner	' b r\ e d w I n @
chart	tS 6: t
Governor	' g 6 v @ n @
most	m @} s t
charm	tS 6: m
moss	m O s
fluctuate	' f l 6 k tS }: {I t
refrigerator	r\ @ ' f r\ I dZ @ r\ {I t @
kg	k {I ' dZ i:
humanitarian	h j }: m { n @ ' t e: r\ i: @ n
km	k @ ' l O m @ t @
cramped	k r\ { m p t
mammoth	' m { m @ T
weigh	w {I
organism	' o: g @ n I z @ m
sector	' s e k t @
swelling	' s w e l I N
relation	r\ @ ' l {I S @ n
malignant	m @ ' l I g n @ n t
fine	f Ae n
find	f Ae n d
giant	' dZ Ae @ n t
nervous	' n 3: v @ s
ruin	' r\ }: @ n
waiting	w {I t I N
poach	p @} tS
money	' m 6 n i:
boulder	' b @} l d @
devastate	' d e v @ s t {I t
permission	p @ ' m I S @ n
batten	' b { t @ n
cholera	' k O l @ r\ @
express	@ k ' s p r\ e s
semi-conscious	s e m i: ' k O n S @ s
courage	' k 6 r\ I dZ
batter	' b { t @
breast	b r\ e s t
theft	T e f t
Serbian	' s 3: b i: @ n
silk	s I l k
sill	s I l
merchandise	' m 3: tS @ n d Ae s
target	' t 6: g @ t
elapse	@ ' l { p s
resolve	r\ @ ' z O l v
contagious	k @ n ' t {I dZ @ s
tracksuit	' t r\ { k s }: t
remove	r\ @ ' m }: v
common	' k O m @ n
archaeologist	6: k i: ' O l @ dZ @ s t
gazump	g @ ' z 6 m p
scruffy	' s k r\ 6 f i:
cynical	' s I n I k @ l
vine	v Ae n
biannual	b Ae ' { n j }: @ l
individual	I n d @ ' v I dZ }: @ l
manly	' m { n l i:
tender	' t e n d @
quiche	k i: S
forthcoming	f o: T ' k 6 m I N
petrify	' p e t r\ @ f Ae
prim	p r\ I m
expert	' e k s p 3: t
marinate	' m { r\ @ n {I t
please	p l i: z
myriad	' m I r\ i: @ d
distraught	d @ ' s t r\ o: t
donate	d @} ' n {I t
iron	' Ae @ n
prescribe	p r\ @ ' s k r\ Ae b
complement	' k O m p l @ m @ n t
barrack	' b { r\ @ k
aircraft	' e: k r\ 6: f t
scuttle	' s k 6 t @ l
premise	' p r\ e m @ s
full-time	f U l ' t Ae m
rasher	' r\ { S @
restaurant	' r\ e s t @ r\ O n t
annual	' { n j }: @ l
foreign	' f O r\ @ n
quadruped	' k w O d r\ @ p e d
suede	s w {I d
mean	m i: n
bongo	' b O N g @}
consume	k @ n ' s j }: m
point	p oI n t
dwindle	' d w I n d @ l
smother	' s m 6 D @
gypsy	' dZ I p s i:
simply	' s I m p l i:
supple	' s 6 p @ l
toddle	' t O d @ l
hovercraft	' h O v @ k r\ 6: f t
Khmer	k @ ' m e:
raise	r\ {I z
apostle	@ ' p O s @ l
create	k r\ i: ' {I t
volley	' v O l i:
secret	' s i: k r\ @ t
amnesia	{ m ' n i: Z @
meeting	' m i: t I N
attire	@ ' t Ae @
gay	g {I
honorary	' O n @ r\ @ r\ i:
gas	g { s
gap	g { p
pricey	' p r\ Ae s i:
understand	6 n d @ ' s t { n d
gag	g { g
chatter	' tS { t @
bile	b Ae l
fur	f 3:
solid	' s O l @ d
capsicum	' k { p s @ k @ m
bill	b I l
tolerate	' t O l @ r\ {I t
holocaust	' h O l @ k O s t
tape-recorder	' t {I p r\ @ k o: d @
crutch	k r\ 6 tS
hang-glider	' h { N g l Ae d @
fun	f 6 n
lull	l 6 l
shoddy	' S O d i:
century	' s e n tS @ r\ i:
mystic	' m I s t I k
down-to-earth	d {O n t }: ' 3: T
astound	@ ' s t {O n d
foul-mouthed	' f {O l m {O D d
decoration	d e k @ ' r\ {I S @ n
suntan	' s 6 n t { n
itself	I t ' s e l f
eczema	' e k s @ m @
facade	f @ ' s 6: d
Easter	' i: s t @
saline	' s {I l Ae n
pyjamas	p @ ' dZ 6: m @ z
seduce	s @ ' d j }: s
migraine	' m Ae g r\ {I n
rheumatism	' r\ }: m @ t I z @ m
misdemeanour	m I s d @ ' m i: n @
butcher	' b U tS @
textile	' t e k s t Ae l
benign	b @ ' n Ae n
discourse	' d I s k o: s
spade	s p {I d
corridor	' k O r\ @ d o:
lenient	' l i: n i: @ n t
relatively	' r\ e l @ t I v l i:
development	d @ ' v e l @ p m @ n t
itch	I tS
assignment	@ ' s Ae n m @ n t
yesterday	' j e s t @ d {I
flurry	' f l 6 r\ i:
purpose	' p 3: p @ s
timid	' t I m @ d
safe	s {I f
task	t 6: s k
howt	h {O t
halve	h 6: v
codeine	' k @} d i: n
mesmerise	' m e z m @ r\ Ae z
howd	h {O d
landmark	' l { n d m 6: k
entry	' e n t r\ i:
chemistry	' k e m @ s t r\ i:
hown	h {O n
spend	s p e n d
howl	h {O l
vindictive	v I n ' d I k t I v
ludicrous	' l }: d @ k r\ @ s
segregate	' s e g r\ @ g {I t
shape	S {I p
atomic	@ ' t O m I k
kleptomania	k l e p t @ ' m {I n i: @
malformation	m { l f o: ' m {I S @ n
discipline	' d I s @ p l @ n
superficial	s }: p @ ' f I S @ l
cut	k 6 t
cup	k 6 p
alternate	O l ' t 3: n @ t
snag	s n { g
source	s o: s
cue	k j }:
cub	k 6 b
snap	s n { p
excited	@ k ' s Ae t @ d
bin	b I n
sensational	s e n ' s {I S @ n @ l
big	b I g
bid	b I d
bib	b I b
displace	d I s ' p l {I s
redeem	r\ @ ' d i: m
bit	b I t
vapour	' v {I p @
knock	n O k
disrepair	d I s r\ @ ' p e:
blemish	' b l e m I S
slovenly	' s l 6 v @ n l i:
flue	f l }:
glove	g l 6 v
often	' O f @ n
extremism	@ k ' s t r\ i: m I z @ m
magnificent	m { g ' n I f @ s @ n t
back	b { k
delegation	d e l @ ' g {I S @ n
accelerate	@ k ' s e l @ r\ {I t
mirror	' m I r\ @
candle	' k { n d @ l
ourselves	{O @ ' s e l v z
pronounced	p r\ @ ' n {O n s t
scald	s k o: l d
acquaintance	@ ' k w {I n t @ n s
culprit	' k 6 l p r\ @ t
defamation	d e f @ ' m {I S @ n
pelt	p e l t
decision	d @ ' s I Z @ n
pew	p j }:
Troy	t r\ oI
balmy	' b 6: m i:
pen	p e n
eliminate	@ ' l I m @ n {I t
scalp	s k { l p
ped	p e d
pee	p i:
epic	' e p I k
invade	I n ' v {I d
nose	n @} z
patient	' p {I S @ n t
use	j }: z
O	@}
lottery	' l O t @ r\ i:
goods	g U d z
rumble	' r\ 6 m b @ l
braille	b r\ {I l
truck	t r\ 6 k
drama	' d r\ 6: m @
obstetrician	O b s t @ ' t r\ I S @ n
bluster	' b l 6 s t @
sniffle	' s n I f @ l
depose	d @ ' p @} z
lesson	' l e s @ n
downhill	d {O n ' h I l
click	k l I k
jockey	' dZ O k i:
errand	' e r\ @ n d
overpower	@} v @ ' p {O @
drip-dry	' d r\ I p d r\ Ae
camera	' k { m r\ @
forward	' f o: w @ d
peevish	' p i: v I S
opponent	@ ' p @} n @ n t
invite	I n ' v Ae t
pronounce	p r\ @ ' n {O n s
cloud	k l {O d
switchboard	' s w I tS b o: d
subsidiary	s @ b ' s I dZ @ r\ i:
I'll	Ae l
biggie	' b I g i:
planet	' p l { n @ t
aversion	@ ' v 3: Z @ n
jumbo	' dZ 6 m b @}
autonomous	o: ' t O n @ m @ s
groove	g r\ }: v
sort	s o: t
curt	k 3: t
devastating	' d e v @ s t {I t I N
constant	' k O n s t @ n t
expedition	e k s p @ ' d I S @ n
metal	' m e t @ l
Cross	k r\ O s
deprive	d @ ' p r\ Ae v
scarlet	' s k 6: l @ t
single	' s I N g @ l
cure	' k j }: @
curb	k 3: b
dispensation	d I s p e n ' s {I S @ n
obtuse	@ b ' t j }: s
curl	k 3: l
cafe	' k { f {I
oval	' @} v @ l
stripper	' s t r\ I p @
adjudicate	@ ' dZ }: d @ k {I t
May	m {I
excrete	@ k ' s k r\ i: t
faeces	' f i: s i: z
assassinate	@ ' s { s @ n {I t
confine	k @ n ' f Ae n
Mal	m { l
cellar	' s e l @
lend	l e n d
favourite	' f {I v @ r\ @ t
heatwave	' h i: t w {I v
lens	l e n z
cater	' k {I t @
lent	l e n t
desert	' d e z @ t
night	n Ae t
downcast	' d {O n k 6: s t
uterus	' j }: t @ r\ @ s
mix-up	' m I k s 6 p
reserve	r\ @ ' z 3: v
stroller	' s t r\ @} l @
rinse	r\ I n s
footing	' f U t I N
dogged	' d O g @ d
tram	t r\ { m
penis	' p i: n @ s
groceries	' g r\ @} s @ r\ i: z
query	' k w I@ r\ i:
vicious	' v I S @ s
naturalised	' n { tS @ r\ @ l Ae z d
strew	s t r\ }:
compose	k @ m ' p @} z
drive-in	' d r\ Ae v I n
literary	' l I t @ r\ @ r\ i:
compost	' k O m p O s t
blaze	b l {I z
masculine	' m { s k j @ l @ n
atlas	' { t l @ s
gravel	' g r\ { v @ l
ingredient	I n ' g r\ i: d i: @ n t
cortisone	' k o: t @ z @} n
electrocute	@ ' l e k t r\ @ k j }: t
random	' r\ { n d @ m
presently	' p r\ e z @ n t l i:
dessert	d @ ' z 3: t
rhyme	r\ Ae m
accuse	@ ' k j }: z
surgeon	' s 3: dZ @ n
arrange	@ ' r\ {I n dZ
molar	' m @} l @
gipsy	' dZ I p s i:
prefect	' p r\ i: f e k t
moderate	' m O d @ r\ @ t
salad	' s { l @ d
knight	n Ae t
shock	S O k
mottled	' m O t @ l d
pebble	' p e b @ l
insubordinate	I n s @ ' b o: d @ n @ t
choppy	' tS O p i:
ceasefire	' s i: s f Ae @
ride	r\ Ae d
sewage	' s }: I dZ
joey	' dZ @} i:
crow	k r\ @}
queer	' k w I@
crop	k r\ O p
subtle	' s 6 t @ l
bloodshot	' b l 6 d S O t
append	@ ' p e n d
pittance	' p I t @ n s
zest	z e s t
dowdy	' d {O d i:
anthem	' { n T @ m
paddle	' p { d @ l
access	' { k s e s
exercise	' e k s @ s Ae z
body	' b O d i:
exchange	@ k s ' tS {I n dZ
sprung	s p r\ 6 N
nimble	' n I m b @ l
bachelor	' b { tS @ l @
intercept	I n t @ ' s e p t
sink	s I N k
dissuade	d I s ' s w {I d
sing	s I N
implicit	I m ' p l I s @ t
extreme	@ k ' s t r\ i: m
incinerate	I n ' s I n @ r\ {I t
talent	' t { l @ n t
respiration	r\ e s p @ ' r\ {I S @ n
Chinese	' tS Ae n i: z
conceit	k @ n ' s i: t
resurrect	r\ e z @ ' r\ e k t
weekday	' w i: k d {I
climb	k l Ae m
blizzard	' b l I z @ d
limp	l I m p
bushman	' b U S m @ n
private	' p r\ Ae v @ t
talon	' t { l @ n
decrease	d @ ' k r\ i: s
limb	l I m
scandal	' s k { n d @ l
clockwise	' k l O k w Ae z
staple	' s t {I p @ l
sermon	' s 3: m @ n
lime	l Ae m
tar	t 6:
mid	m I d
butler	b 6 t l @
themselves	D @ m ' s e l v z
defendant	d @ ' f e n d @ n t
charcoal	' tS 6: k @} l
trait	t r\ {I t
billet	' b I l @ t
kiosk	' k i: O s k
thatch	T { tS
trail	t r\ {I l
train	t r\ {I n
magnanimous	m { g ' n { n @ m @ s
tattered	' t { t @ d
tearing	t e: r\ I N
harvest	' h 6: v @ s t
subscription	s @ b ' s k r\ I p S @ n
account	@ ' k 6 {O n t
f	e f
tunnel	' t 6 n @ l
tease	t i: z
gruff	g r\ 6 f
unreal	6 n ' r\ i: l
obvious	' O b v i: @ s
praise	p r\ {I z
parquet	' p 6: k {I
fetch	f e tS
predecessor	' p r\ i: d @ s e s @
reserved	r\ @ ' z 3: v d
e.g.	i: ' dZ i:
waltz	w o: l t s
pliable	' p l Ae @ b @ l
serial	' s I@ r\ i: @ l
contempt	k @ n ' t e m p t
hangar	' h { N @
lamb	l { m
democracy	d @ ' m O k r\ @ s i:
lame	l {I m
fete	f {I t
forest	' f O r\ @ s t
furnace	' f 3: n @ s
stock	s t O k
profile	' p r\ @} f Ae l
ABC	{I b i: ' s i:
y	w Ae
sir	s 3:
spin-dry	s p I n ' d r\ Ae
philosophy	f @ ' l O s @ f i:
bluff	b l 6 f
fray	f r\ {I
ambiguous	{ m ' b I g j }: @ s
drape	d r\ {I p
italics	I ' t { l I k s
bind	b Ae n d
platypus	' p l { t @ p U s
correspond	k O r\ @ ' s p O n d
linen	' l I n @ n
chief	tS i: f
tamper	' t { m p @
furious	' f j }: r\ i: @ s
furnish	' f 3: n I S
ignite	I g ' n Ae t
wedding	' w e d I N
disarm	d I s ' 6: m
meter	' m i: t @
fertile	' f 3: t Ae l
neurotic	n j }: ' r\ O t I k
galaxy	' g { l @ k s i:
bunch	b 6 n tS
silkworm	' s I l k w 3: m
decorum	d @ ' k o: r\ @ m
jumbuck	' dZ 6 m b 6 k
winning	' w I n I N
kindergarten	' k I n d @ g 6: t @ n
blatant	' b l {I t @ n t
marsh	m 6: S
publication	p 6 b l @ ' k {I S @ n
latitude	' l { t @ tS }: d
image	' I m I dZ
dad	d { d
junction	' dZ 6 N k S @ n
lunatic	' l }: n @ t I k
dab	d { b
dam	d { m
spell	s p e l
muddle	' m 6 d @ l
denigrate	' d e n @ g r\ {I t
mention	' m e n S @ n
spelt	s p e l t
mandate	' m { n d {I t
LPG	e l p i: ' dZ i:
day	d {I
strive	s t r\ Ae v
thrill	T r\ I l
slacken	' s l { k @ n
estranged	@ ' s t r\ {I n dZ d
deplore	d @ ' p l o:
cider	' s Ae d @
lingerie	' l O n Z @ r\ {I
virulent	' v I r\ @ l @ n t
disregard	d I s r\ @ ' g 6: d
flair	f l e:
activate	' { k t @ v {I t
thwart	T w o: t
baulk	b o: k
pantry	' p { n t r\ i:
junkie	' dZ 6 N k i:
wade	w {I d
maternal	m @ ' t 3: n @ l
matt	m { t
defend	d @ ' f e n d
stub	s t 6 b
mate	m {I t
messenger	' m e s @ n dZ @
lecture	' l e k tS @
postpone	p @} s t ' p @} n
stun	s t 6 n
red	r\ e d
thereupon	D e: r\ @ ' p O n
racquet	' r\ { k @ t
stenographer	s t @ ' n O g r\ @ f @
frank	f r\ { N k
payroll	' p {I r\ @} l
fourteen	' f o: t i: n
clarify	' k l { r\ @ f Ae
perjure	' p 3: dZ @
bleed	b l i: d
backwards	' b { k w @ d z
indent	I n ' d e n t
jiffy	' dZ I f i:
peeve	p i: v
deprived	d @ ' p r\ Ae v d
yarn	j 6: n
tack	t { k
mortal	' m o: t @ l
retain	r\ @ ' t {I n
retail	' r\ i: t {I l
facilitate	f @ ' s I l @ t {I t
NB	e n ' b i:
south	s {O T
suffix	' s 6 f I k s
savour	' s {I v @
sack	s { k
strategic	s t r\ @ ' t i: dZ I k
skyscraper	' s k Ae s k r\ {I p @
hurdle	' h 3: d @ l
vandal	' v { n d @ l
ancient	' {I n S @ n t
monkey	' m 6 N k i:
vulgar	' v 6 l g @
vagina	v @ ' dZ Ae n @
intermediate	I n t @ ' m i: d i: @ t
scant	s k { n t
jingle	' dZ I N g @ l
natty	' n { t i:
cabin	' k { b @ n
sixteenth	s I k s ' t i: n T
gear	g I@
eavesdrop	' i: v z d r\ O p
bulldog	b U l d O g
retrench	r\ @ ' t r\ e n tS
acquire	@ ' k w Ae @
dreary	' d r\ I@ r\ i:
absent-minded	{ b s @ n t ' m Ae n d @ d
resist	r\ @ ' z I s t
bodyguard	' b O d i: g 6: d
prune	p r\ }: n
NT	n o: D @ n ' t e r\ @ t r\ i:
shampoo	S { m ' p }:
calamity	k @ ' l { m @ t i:
coronation	k O r\ @ ' n {I S @ n
anthropologist	{ n T r\ @ ' p O l @ dZ @ s t
free-range	' f r\ i: r\ {I n dZ
bisexual	b Ae ' s e k S }: @ l
horrendous	h @ ' r\ e n d @ s
tidy	' t Ae d i:
comfortable	' k 6 m f t @ b @ l
tide	t Ae d
cavern	' k { v @ n
have	h { v
dictate	d I k ' t {I t
throat	T r\ @} t
dementia	d @ ' m e n S @
apparently	@ p { r\ @ n t l i:
she	S i:
haywire	' h {I w Ae @
billiards	' b I l j @ d z
gravity	' g r\ { v @ t i:
incentive	I n ' s e n t I v
precipice	' p r\ e s @ p @ s
mix	m I k s
wallet	' w O l @ t
parka	' p 6: k @
mooring	' m o: r\ I N
spinster	' s p I n s t @
hazel	' h {I z @ l
eight	{I t
clamber	' k l { m b @
preliminary	p r\ @ ' l I m @ n r\ i:
handbag	' h { n d b { g
hoodwink	' h U d w I N k
gullet	' g 6 l @ t
gather	' g { D @
request	r\ @ ' k w e s t
disease	d @ ' z i: z
absurd	@ b ' s 3: d
semicolon	s e m i: ' k @} l @ n
occasion	@ ' k {I Z @ n
skinny	' s k I n i:
Saturday	' s { t @ d {I
recess	r\ @ ' s e s
super	' s }: p @
kite	k Ae t
settee	s e ' t i:
text	t e k s t
incapacitate	I n k @ ' p { s @ t {I t
traitor	' t r\ {I t @
portfolio	p o: t ' f @} l i: @}
floodlight	' f l 6 d l Ae t
thicket	' T I k @ t
staff	s t 6: f
wear	w e:
communism	' k O m j @ n I z @ m
grabbed	g r\ { b d
knowledge	' n O l I dZ
mug	m 6 g
prolong	p r\ @ ' l O N
plucky	' p l 6 k i:
handsome	' h { n s @ m
inferior	I n ' f I@ r\ i: @
pitfall	' p I t f o: l
exceptional	@ k ' s e p S @ n @ l
beat	b i: t
bear	b e:
beam	b i: m
bean	b i: n
beak	b i: k
bead	b i: d
organ	' o: g @ n
whilst	w Ae l s t
rage	r\ {I dZ
eyebrow	' Ae b r\ {O
mascara	m { s ' k 6: r\ @
conform	k @ n ' f o: m
national	' n { S @ n @ l
groggy	' g r\ O g i:
we	w i:
dislodge	d I s ' l O dZ
pidgin	' p I dZ @ n
roughage	' r\ 6 f I dZ
racket	' r\ { k @ t
reform	r\ @ ' f o: m
clearing	' k l I@ r\ I N
literate	' l I t @ r\ @ t
brunt	b r\ 6 n t
hammock	' h { m @ k
routine	r\ }: ' t i: n
progress	' p r\ @} g r\ e s
boundary	' b {O n d r\ i:
voucher	' v {O tS @
cauliflower	' k O l i: f l {O @
mown	m @} n
sorrow	' s O r\ @}
grumble	' g r\ 6 m b @ l
antics	' { n t I k s
willing	' w I l I N
S	e s
no	n @}
antipodes	{ n ' t I p @ d i: z
exclaim	@ k ' s k l {I m
instant	' I n s t @ n t
joke	dZ @} k
Jul.	dZ @ ' l Ae
pulp	p 6 l p
kosher	' k @} S @
assure	@ ' S o:
swim	s w I m
swallow	' s w O l @}
highland	' h Ae l @ n d
glorious	' g l o: r\ i: @ s
aquarium	@ ' k w e: r\ i: @ m
comment	' k O m e n t
fester	' f e s t @
relevant	' r\ e l @ v @ n t
denim	' d e n @ m
overcoat	' @} v @ k @} t
commend	k @ ' m e n d
laugh	l 6: f
tremendous	t r\ @ ' m e n d @ s
it's	I t s
gaze	g {I z
rump	r\ 6 m p
curtain	' k 3: t @ n
curtail	k 3: ' t {I l
define	d @ ' f Ae n
censor	' s e n s @
bulk	b 6 l k
tense	t e n s
axle	' { k s @ l
bull	b U l
gross	g r\ @} s
fellow	' f e l @}
volunteer	v O l @ n ' t I@
holiday	' h O l @ d {I
plain	p l {I n
appearance	@ ' p I@ r\ @ n s
value	' v { l j }:
plait	p l { t
handwriting	' h { n d r\ Ae t I N
amenity	@ ' m e n @ t i:
midwife	' m I d w Ae f
bicker	' b I k @
flex	f l e k s
